abandon оставить
grateful благодарный
grave могила
gravity гравитация
great отличный
greatly значительно
green зеленый
greenhouse теплица
greet приветствовать
grey серый
grid сетка
grief горе
grin скалить зубы
grind молоть
grip захват
grocery бакалея
ground земля
group группа
grow расти
growth рост
guarantee гарантия
guard охрана
guerrilla партизан
guess догадываться
guest гость
guidance руководство
guide руководство
guideline директива
guilt чувство вины
guilty виновный
guitar гитара
gun пушка
gut кишка
guy парень
gym тренажерный зал
habit привычка
habitat среда обитания
hail град
hair шерсть
half половина
halfway на полпути
hall зал
halt остановка
hand рука
handful горсть
handle справляться
handling обращение
handy удобный
hang вешать
happen случаться
happily счастливо
happiness счастье
happy счастливый
harassment издевательство
harbour гавань
hard трудный
hardly едва
hardware оборудование
harm вред
harmful вредный
harmony гармония
harsh суровый
harvest сбор урожая
hat шляпа
hate ненавидеть
hatred ненависть
haunt преследовать
have иметь
hazard опасность
he он
head голова
headache головная боль
headline заголовок
headquarters штаб
heal лечить
health здоровье
healthcare здравоохранение
healthy здоровый
hear слышать
hearing слышащий
heart сердце
heat жара
heating отопительный
heaven небо
heavily тяжело
heavy тяжелый
heel каблук
height высота
heighten повышать
helicopter вертолет
hell ад
hello привет
helmet шлем
help помощь
helpful полезный
hence следовательно
her ее
herb трава
here здесь
heritage наследие
hero герой
hers ее
herself сама
hesitate колебаться
hey Эй
hi привет
hidden скрытый
hide прятать
hierarchy иерархия
high высокий
high-profile большое значение
highlight выделить
highly высоко
highway шоссе
hilarious веселый
hill холм
himself себя
hint подсказка
hip бедро
hire нанимать
his свой
historian историк
historic исторический
historical исторический
history история
hit ударить
hobby хобби
hockey хоккей
hold держать
hole отверстие
holiday праздник
hollow полый
holy святой
home домашний
homeland родина
homeless бездомный
homework домашнее задание
honest честный
honesty честность
honour честь
hook крюк
hope надеяться
hopeful обнадеживающий
hopefully с надеждой
horizon горизонт
horn рог
horrible ужасный
horror ужас
horse лошадь
hospital больница
host хозяин
hostage заложник
hostile враждебный
hostility враждебность
hot горячий
hotel отель
hour час
house дом
household домашнее хозяйство
housing жилье
how как
however однако
huge огромный
human человек
humanitarian гуманитарный
humanity человечество
humble скромный
humorous юмористический
humour юмор
hundred сто
hunger голод
hungry голодный
hunt охота
hunting охота
hurricane ураган
hurry торопиться
hurt ранить
husband муж
hydrogen водород
hypothesis гипотеза
i я
ice лед
ice cream мороженое
icon икона
idea идея
ideal идеал
identical идентичный
identification идентификация
identify идентифицировать
identity идентичность
ideological идеологический
ideology идеология
idiot идиот
if если
ignorance невежество
ignore игнорировать
ill больной
illegal незаконный
illness болезнь
illusion иллюзия
illustrate иллюстрировать
illustration иллюстрация
image изображение
imagery образность
imaginary воображаемый
imagination воображение
imagine воображать
immediate немедленный
immediately немедленно
immense огромный
immigrant иммигрант
immigration иммиграция
imminent неизбежный
immune иммунный
impact влияние
impatient нетерпеливый
implement осуществлять
implementation реализация
implication вовлечение
imply подразумевать
import импортировать
importance важность
important важный
impose облагать
impossible невозможный
impress впечатление
impressed впечатленный
impression впечатление
impressive впечатляющий
imprison сажать в тюрьму
imprisonment лишение свободы
improve улучшать
improvement улучшение
in в
inability неспособность
inadequate неадекватный
inappropriate несоответствующий
incentive стимул
inch вершок
incidence процент
incident инцидент
inclined наклоненный
include включать
included включенный
including включая
inclusion включение
income доход
incorporate объединять
incorrect неправильный
increase увеличение
increasingly усиливающийся
incredible невероятный
incredibly невероятно
incur брать
indeed действительно
independence независимость
independent независимый
index индекс
indicate указывать
indication индикация
indicator показатель
indictment обвинительный акт
indigenous коренной
indirect косвенный
individual индивидуальный
indoor в помещении
indoors в помещении
induce вызывать
indulge баловать
industrial промышленный
industry промышленность
inequality неравенство
inevitable неизбежный
infamous позорный
infant младенец
infect заражать
infection инфекция
infer делать вывод
inflation инфляция
inflict причинить
influence влияние
influential влиятельный
info информация
inform сообщать
informal неформальный
information информация
infrastructure инфраструктура
ingredient ингредиент
inhabitant житель
inherent свойственный
inherit наследовать
inhibit подавлять
initial первоначальный
initially первоначально
initiate инициировать
initiative инициатива
inject впрыскивать
injection инъекция
injure ранить
injured раненый
injury травма
injustice несправедливость
ink чернила
inmate заключенный
inner внутренний
innocent невинный
innovation инновация
innovative инновационный
input вход
insect насекомое
insert вставлять
insertion вставка
inside внутри
insider инсайдер
insight проницательность
insist настаивать
inspect проверить
inspection осмотр
inspector инспектор
inspiration вдохновение
inspire внушать
install устанавливать
installation установка
instance пример
instant моментальный
instantly немедленно
instead вместо
instinct инстинкт
institute учреждение
institution учреждение
institutional институционный
instruct инструктировать
instruction инструкция
instructor инструктор
instrument инструмент
instrumental инструментальный
insufficient недостаточный
insult оскорбление
insurance страхование
intact нетронутый
intake потребление
integral составной
integrate интегрировать
integrated интегрированный
integration интеграция
integrity целостность
intellectual интеллектуальный
intelligence интеллект
intelligent умный
intend намереваться
intended предназначенный
intense интенсивный
intensify усилить
intensity интенсивность
intensive интенсивный
intent намерение
intention намерение
interact взаимодействовать
interaction взаимодействие
interactive интерактивный
interest интерес
interested заинтересованный
interesting интересный
interface интерфейс
interfere вмешиваться
interference вмешательство
interim промежуточный
interior интерьер
intermediate промежуточный
internal внутренний
international международный
internet интернет
interpret интерпретировать
interpretation толкование
interrupt прерывать
interval интервал
intervene вмешиваться
intervention вмешательство
interview интервью
intimate глубокий
into в
intriguing интригующий
introduce вводить
introduction вступление
invade вторгаться
invasion вторжение
invent изобретать
invention изобретение
invest вложить
investigate исследовать
investigation расследование
investigator следователь
investment инвестиции
investor инвестор
invisible невидимый
invitation приглашение
invite приглашать
invoke взывать
involve вовлекать
involved вовлеченный
involvement участие
iron железо
ironic ироничный
ironically иронически
irony ирония
irrelevant неуместный
island остров
isolate изолировать
isolated изолированный
isolation изоляция
issue вопрос
it он
item пункт
its его
itself сам
jacket куртка
jail тюрьма
jam варенье
january январь
jazz джаз
jeans джинсы
jet самолет
jewellery ювелирные изделия
job работа
join присоединиться
joint совместный
joke шутка
journal журнал
journalism журналистика
journalist журналист
journey путешествие
joy радость
judge судья
judgement суждение
judicial судебный
juice сок
july июль
jump скакать
junction соединение
june июнь
junior младший
jurisdiction юрисдикция
jury присяжные
just просто
justice справедливость
justification обоснование
justify оправдывать
keen проницательный
keep держать
key ключ
keyboard клавиатура
kick пинать
kid ребенок
kidnap похищать
kidney почка
kill убивать
killing убийство
kilometre километр
kind добрый
king король
kingdom царство
kiss целовать
kit комплект
kitchen кухня
knee колено
knife нож
knock стучать
know знать
knowledge знание
lab лаборатория
label этикетка
laboratory лаборатория
labour труд
lack отсутствие
lad парень
ladder лестница
lady леди
lake озеро
lamp лампа
land земля
landing посадка
landlord домовладелец
landmark ориентир
landscape пейзаж
lane переулок
language язык
lap круг
laptop ноутбук
large большой
large-scale масштабный
largely значительно
laser лазер
last последний
late поздний
lately недавно
later позже
latest самый последний
latter последний
laugh смеяться
laughter смех
launch запуск
law закон
lawn лужайка
lawsuit судебный процесс
lawyer юрист
lay класть
layer слой
layout расположение
lazy ленивый
lead вести
leader лидер
leadership руководство
leading руководящий
leaf лист
leaflet листовка
league Лига
leak утечка
lean опираться
leap прыгать
learn учить
learning познающий
least наименьший
leather кожа
leave покидать
lecture лекция
left левый
leg нога
legacy наследие
legal законный
legend легенда
legendary легендарный
legislation законодательство
legislative законодательный
legislature законодательная власть
legitimate законный
leisure досуг
lemon лимон
lend одалживать
length длина
lengthy длинный
lens объектив
lesbian лесбосский
less меньше
lesser меньший
lesson урок
let позволять
lethal смертельный
letter письмо
level уровень
liable ответственный
liberal либеральный
liberation освобождение
liberty свобода
library библиотека
licence лицензия
license лицензия
lie ложь
life жизнь
lifelong пожизненный
lifestyle образ жизни
lifetime продолжительность жизни
lift поднимать
light свет
lighting освещение
like любить
likelihood вероятность
likely возможный
likewise также
limb конечность
limit предел
limitation ограничение
limited ограниченный
line линия
line-up выстроиться
linear линейный
linger задерживаться
link ссылка
lion лев
lip губа
liquid жидкость
list список
listen слушать
listener слушатель
listing перечисление
literacy грамотность
literally буквально
literary литературный
literature литература
litre литр
litter мусор
little маленький
live жить
lively оживленный
liver печень
living живущий
load загружать
loan кредит
lobby холл
local местный
locate разместить
located расположенный
location местоположение
lock замок
log бревно
logic логика
logical логический
logo логотип
lonely одинокий
long длинный
long-standing давний
long-term долгосрочный
long-time долгое время
look смотреть
loom ткацкий станок
loop петля
loose свободный
lord Господь
lorry грузовик
lose терять
loss потеря
lost потерянный
lot много
lottery лотерея
loud громкий
loudly громко
love любовь
lovely прекрасный
low низкий
lower нижний
loyal верный
loyalty лояльность
luck удача
lucky удачливый
lunch обед
lung легкое
luxury роскошь
lyric лирический
machine машина
machinery механическое оборудование
mad безумный
magazine журнал
magic магия
magical волшебный
magistrate магистрат
magnetic притягательный
magnificent великолепный
magnitude величина
mail почта
main главный
mainland материк
mainly в основном
mainstream общепринятый
maintain поддерживать
maintenance обслуживание
major главный
majority большинство
make делать
make-up мейк
making изготовление
male мужчина
mall тц
man мужчина
manage управлять
management управление
manager менеджер
mandate мандат
mandatory обязательный
manifest манифест
manipulate манипулировать
manipulation манипуляция
manner манера
manufacture производство
manufacturing производство
manuscript рукопись
many много
map карта
marathon марафон
march март
margin прибыль
marginal маргинальный
marine морской
mark отметка
marker маркер
market рынок
marketing маркетинг
marketplace рыночная площадь
marriage брак
married состоящий в браке
marry жениться
martial военный
mask маска
mass масса
massacre резня
massive массивный
master мастер
match совпадение
matching соответствие
mate приятель
material материал
mathematical математический
mathematics математика
maths математика
matter дело
mature спелый
maximize максимизировать
maximum максимальный
may мочь
maybe возможно
mayor мэр
me я
meal еда
mean означать
meaning значение
meaningful значимый
means средства
meantime тем временем
meanwhile между тем
measure мера
measurement измерение
meat мясо
mechanic механик
mechanical механический
mechanism механизм
medal медаль
media средства массовой информации
medical медицинский
medication лечение
medicine препарат
medieval средневековый
meditation медитация
medium средний
meet встречать
meeting встреча
melody мелодия
melt расплав
member участник
membership членство
memo меморандум
memoir мемуары
memorable памятный
memorial мемориал
memory память
mental умственный
mention упоминать
mentor наставник
menu меню
merchant торговец
mercy милость
mere простой
merely просто
merge поглощать
merger слияние
merit заслуга
mess беспорядок
message сообщение
metal металл
metaphor метафора
method метод
methodology методология
metre метр
middle средний
midnight полночь
midst среди
might вероятно
migration миграция
mild мягкий
mile миля
militant воинствующий
military военный
militia милиция
milk молоко
mill мельница
million миллион
mind ум
mine делать подкоп
miner горнорабочий
mineral минерал
minimal минимальный
minimize минимизировать
minimum минимальный
mining добыча полезных ископаемых
minister министр
ministry Министерство
minor незначительный
minority меньшинство
minute минута
miracle чудо
mirror зеркало
miserable несчастный
misery нищета
misleading вводящий в заблуждение
miss мисс
missile ракета
missing потерянный
mission миссия
mistake ошибка
mix смесь
mixed смешанный
mixture смесь
mob толпа
mobile мобильный
mobility мобильность
mobilize мобилизовать
mode режим
model модель
moderate умеренный
modern современный
modest скромный
modification модификация
modify модифицировать
moment момент
momentum импульс
monday понедельник
money деньги
monitor монитор
monk монах
monkey обезьяна
monopoly монополия
monster монстр
month месяц
monthly ежемесячно
monument памятник
mood настроение
moon луна
moral моральный
morality мораль
more больше
moreover более того
morning утро
mortgage ипотека
mosque мечеть
most наибольший
mostly в основном
mother мама
motion движение
motivate мотивировать
motivation мотивация
motive мотив
motor двигатель
motorcycle мотоцикл
motorist автомобилист
mount монтировать
mountain гора
mouse мышь
mouth рот
move двигаться
movement движение
movie кино
moving движущийся
much много
mud грязь
multiple многократный
multiply умножать
mum мама
municipal муниципальный
murder убийство
muscle мускул
museum музей
music музыка
musical музыкальный
musician музыкант
must должен
mutual взаимный
my мой
myself сам
mysterious таинственный
mystery тайна
myth миф
nail ноготь
naked незащищенный
name имя
namely именно
narrative повествовательный
narrow узкий
nasty противный
nation нация
national национальный
nationwide общенациональный
native родной
natural естественный
naturally естественно
nature природа
naval флотский
navigation навигация
near рядом
nearby поблизости
nearly приблизительно
neat аккуратный
necessarily обязательно
necessary необходимый
necessity необходимость
neck шея
need необходимость
needle игла
negative отрицательный
neglect пренебрегать
negotiate вести переговоры
negotiation ведение переговоров
neighbour сосед
neighbourhood окрестности
neighbouring соседний
neither ни
nerve нерв
nervous нервный
nest гнездо
net сеть
network сеть
neutral нейтральный
never никогда
nevertheless однако
new новый
newly вновь
news новость
newsletter новостная рассылка
newspaper газета
next следующий
next to рядом с
nice милый
niche ниша
night ночь
nightmare ночной кошмар
nine девять
nineteen девятнадцать
ninety девяносто
no нет
no one никто
noble благородный
nobody никто
nod кивать
noise шум
noisy шумный
nominate выдвигать
nomination назначение
nominee номинант
non-profit некоммерческий
none никто
nonetheless однако
nonsense ерунда
noon полдень
nor ни
norm норма
normal обычный
normally обычно
north северный
northern северный
nose нос
not нет
notable примечательный
notably особенно
note записка
notebook блокнот
nothing ничего
notice уведомление
notify уведомлять
notion понятие
notorious пресловутый
novel роман
novelist романист
november ноябрь
now сейчас
nowadays в наше время
nowhere нигде
nuclear ядерный
number номер
numerous многочисленный
nurse медсестра
nursery питомник
nursing уход
nut орех
nutrition питание
obesity ожирение
obey подчиняться
object объект
objection возражение
objective цель
obligation обязательство
oblige обязывать
observation наблюдение
observe наблюдать
observer наблюдатель
obsess преследовать
obsession одержимость
obstacle препятствие
obtain получать
obvious очевидный
obviously очевидно
occasion случай
occasional случайный
occasionally периодически
occupation занятость
occupy занимать
occur происходить
occurrence происшествие
ocean океан
october октябрь
odd странный
odds шансы
of от
off прочь
offence преступление
offend обижать
offender правонарушитель
offensive агрессивный
offer предложение
offering предложение
office офис
officer офицер
official официальный
offspring отпрыск
often часто
oh о
oil масло
ok ОК
old старый
on на
once однажды
one один
ongoing текущий
onion лук
online в интернете
only только
onto на
open открывать
opening открытие
openly открыто
opera опера
operate работать
operation операция
operational оперативный
operator оператор
opinion мнение
opponent противник
opportunity возможность
oppose противопоставлять
opposed противоположный
opposite противоположный
opposition возражение
opt выбирать
optical оптический
optimism оптимизм
optimistic оптимистичный
option вариант
or или
oral устный
orange оранжевый
orchestra оркестр
order приказ
ordinary обычный
organ орган
organic органический
organization организация
organizational организационный
organize организовать
organized организованный
organizer организатор
orientation ориентация
origin происхождение
original оригинал
originally первоначально
originate происходить
other другие
otherwise иначе
ought должен
our наш
ourselves сами
out из
outbreak вспышка
outcome исход
outdoor на открытом воздухе
outdoors на улице
outer внешний
outfit снаряжение
outing вылазка
outlet выход
outline контур
outlook прогноз
output выход
outrage безобразие
outside снаружи
outsider аутсайдер
outstanding выдающийся
oven духовка
over над
overall в целом
overcome преодолеть
overlook упускать из виду
overly чрезмерно
overnight заночевать
overseas за рубежом
oversee осуществлять контроль
overturn переворот
overwhelm потрясать
overwhelming подавляющий
owe быть должным
own собственный
owner владелец
ownership владение
pace темп
pack упаковка
package пакет
packet пакет
pad подушечка
page страница
pain боль
painful болезненный
paint красить
painter художник
painting картина
pair пара
palace дворец
pale бледный
palm ладонь
pan кастрюля
panel панель
panic паника
pants штаны
paper бумага
parade парад
paragraph параграф
parallel параллель
parameter параметр
parent родитель
parental родительский
parish приход
park парк
parking парковка
parliament парламент
parliamentary парламентский
part часть
part-time частичная занятость
partial частичный
partially частично
participant участник
participate участвовать
participation участие
particular определенный
particularly в частности
partly частично
partner партнер
partnership сотрудничество
party вечеринка
pass проходить
passage проход
passenger пассажир
passing проходящий
passion страсть
passionate страстный
passive пассивный
passport паспорт
password пароль
past прошлое
pastor пастор
patch заплатка
patent патент
path путь
pathway путь
patience терпение
patient терпеливый
patrol патруль
patron покровитель
pattern шаблон
pause пауза
pay платить
payment оплата
peace мир
peaceful мирный
peak пик
peasant крестьянин
peculiar своеобразный
peer равный
pen ручка
penalty штраф
pencil карандаш
penny пенни
pension пенсия
people люди
pepper перец
per по
per cent процентный
perceive воспринимать
percentage процент
perception восприятие
perfect идеальный
perfectly идеально
perform выполнять
performance представление
perhaps возможно
period период
permanent постоянный
permanently постоянно
permission разрешение
permit разрешать
persist настаивать
persistent стойкий
person человек
personal личный
personality личность
personally лично
personnel персонал
perspective перспектива
persuade убеждать
pet домашнее животное
petition ходатайство
petrol бензин
phase фаза
phenomenon феномен
philosopher философ
philosophical философский
philosophy философия
phone телефон
photo фото
photograph фотография
photographer фотограф
photography фотография
phrase фраза
physical физический
physician врач
physics физика
piano пианино
pick выбирать
picture изображение
piece кусок
pig свинья
pile куча
pill таблетка
pilot летчик
pin штифт
pink розовый
pioneer пионер
pipe труба
pipeline трубопровод
pirate пират
pit яма
pitch подача
pity жалость
place место
placement размещение
plain простой
plan план
plane самолет
planet планета
planning планирование
plant растение
plastic пластик
plate тарелка
platform платформа
play играть
player игрок
plea просьба
plead умолять
pleasant приятный
please пожалуйста
pleased довольный
pleasure удовольствие
pledge залог
plenty множество
plot сюжет
plug штекер
plunge погружение
plus плюс
pocket карман
poem стих
poet поэт
poetry поэзия
point точка
pointed указываемый
poison яд
poisonous ядовитый
pole полюс
police полиция
policeman полицейский
policy политика
polite вежливый
political политический
politician политик
politics политика
poll опрос
pollution загрязнение
pond пруд
pool бассейн
poor бедный
pop хлопок
popular популярный
popularity популярность
population население
port порт
portfolio портфолио
portion порция
portrait портрет
portray изображать
pose позировать
position позиция
positive положительный
possess обладать
possession владение
possibility возможность
possible вероятный
possibly возможно
post пост
post-war послевоенный
poster плакат
postpone откладывать
pot горшок
potato картофель
potential потенциал
potentially потенциально
pound фунт
pour наливать
poverty бедность
powder порошок
power сила
powerful мощный
practical практичный
practice практика
practise практиковать
practitioner практикующий врач
praise хвалить
pray молиться
prayer молитва
preach проповедовать
precede предшествовать
precedent прецедент
precious драгоценный
precise точный
precisely точно
precision точность
predator хищник
predecessor предшественник
predict прогнозировать
predictable предсказуемый
prediction предсказание
predominantly преимущественно
prefer предпочитать
preference предпочтение
pregnancy беременность
pregnant чреватый
prejudice предубеждение
preliminary предварительный
premier премьер
premise предпосылка
premium высший сорт
preparation подготовка
prepare подготовить
prepared подготовленный
prescribe предписывать
prescription рецепт
presence присутствие
present подарок
presentation презентация
presently в настоящее время
preservation сохранение
preserve сохранять
preside председательствовать
presidency председательство
president президент
presidential президентский
press нажимать
pressure давление
prestigious престижный
presumably предположительно
presume предполагать
pretend притворяться
pretty хорошенький
prevail преобладать
prevalence распространенность
prevent предотвращать
prevention профилактика
previous предыдущий
previously ранее
prey добыча
price цена
pride гордость
priest священник
primarily преимущественно
primary первичный
prime главный
prince принц
princess принцесса
principal главный
principle принцип
print печатать
printer принтер
printing печатание
prior предварительный
priority приоритет
prison тюрьма
prisoner заключенный
privacy конфиденциальность
private частный
privatization приватизация
privilege привилегия
prize приз
probability вероятность
probable вероятный
probably возможно
probe зонд
problem проблема
problematic проблематичный
procedure процедура
proceed продолжить
proceeding разбирательство
proceeds вырученные средства
process процесс
processing обработка
processor процессор
proclaim провозглашать
produce производить
producer производитель
product продукт
production производство
productive продуктивный
productivity производительность
profession профессия
professional профессиональный
professor профессор
profile профиль
profit прибыль
profitable рентабельный
profound глубокий
program программа
programme программа
programming программирование
progress прогресс
progressive прогрессивный
prohibit запрещать
project проект
projection проекция
prominent видный
promise обещать
promising многообещающий
promote способствовать
promotion продвижение
prompt срочный
pronounce произносить
pronounced произнесенный
proof доказательство
propaganda пропаганда
proper правильный
properly должным образом
property собственность
proportion пропорция
proposal предложение
propose предлагать
proposition предложение
prosecute преследовать
prosecution судебное преследование
prosecutor прокурор
prospect перспектива
prospective перспективный
prosperity процветание
protect защищать
protection защита
protective защитный
protein белок
protest протест
protester протестующий
protocol протокол
proud гордый
prove доказывать
provide обеспечивать
province провинция
provincial провинциальный
provision обеспечение
provoke провоцировать
psychiatric психиатрический
psychological психологический
psychologist психолог
psychology психология
pub паб
public общественный
publication публикация
publicity публичность
publish публиковать
publishing издательский
pull тянуть
pulse пульс
pump насос
punch удар кулаком
punish наказывать
punishment наказание
punk панк
pupil ученик
purchase покупка
pure чистый
purely чисто
purple фиолетовый
purpose цель
pursue преследовать
pursuit преследование
push толкать
put класть
puzzle головоломка
qualification квалификация
qualified квалифицированный
qualify квалифицировать
quality качество
quantity количество
quarter четверть
queen королева
query запрос
quest поиск
question вопрос
questionnaire опросник
queue очередь
quick быстрый
quickly быстро
quiet тихий
quietly тихо
quit выходить
quite довольно
quota квота
quotation цитата
quote цитата
race гонка
racial расовый
racing гоночный
racism расизм
racist расист
radar радар
radiation излучение
radical радикальный
radio радио
rage ярость
raid налет
rail перила
railway железнодорожный
rain дождь
raise поднимать
rally ралли
random случайный
range диапазон
rank ранг
ranking ранжирование
rape надругаться
rapid быстрый
rapidly быстро
rare редкий
rarely редко
rat крыса
rate ставка
rather скорее
rating рейтинг
ratio соотношение
rational рациональный
raw вид сырья
ray скат
reach достичь
react реагировать
reaction реакция
read читать
reader читатель
readily охотно
reading чтение
ready готовый
real реальный
realistic реалистичный
reality реальность
realization осуществление
realize осознавать
really действительно
realm область
rear задний
reason причина
reasonable разумный
reasonably разумно
reasoning рассуждение
reassure заверить
rebel бунтарь
rebellion восстание
rebuild перестраивать
recall отзыв
receipt чек
receive получать
receiver приемник
recent недавний
recently недавно
reception прием
recession спад
recipe рецепт
recipient получатель
reckon рассчитывать
recognition распознавание
recognize распознавать
recommend рекомендовать
recommendation рекомендация
reconstruction реконструкция
record запись
recording запись
recount пересчет
recover восстановиться
recovery восстановление
recruit набирать
recruitment набор персонала
recycle перерабатывать
red красный
reduce уменьшить
reduction сокращение
refer относиться
referee судья
reference ссылка
referendum референдум
reflect отражать
reflection отражение
reform реформа
refuge убежище
refugee беженец
refusal отказ
refuse отказываться
regain восстановить
regard уважение
regardless несмотря на
regime режим
region регион
regional региональный
register зарегистрировать
registration регистрация
regret сожаление
regular регулярный
regularly регулярно
regulate регулировать
regulation регулирование
regulator регулятор
regulatory нормативный
rehabilitation реабилитация
reign царствовать
reinforce усиливать
reject отклонять
rejection отказ
relate относиться
related связанный
relation отношение
relationship отношение
relative родственник
relatively относительно
relax расслабиться
relaxed расслабленный
relaxing расслабляющий
release освобождать
relevance актуальность
relevant подходящий
reliability надежность
reliable надежный
relief облегчение
relieve освобождать
relieved облегченный
religion религия
religious религиозный
reluctant неохотный
rely полагаться
remain оставаться
remainder остаток
remains остатки
remark замечание
remarkable замечательный
remarkably замечательно
remedy средство
remember помнить
remind напоминать
reminder напоминание
remote удаленный
removal удаление
remove удалить
render оказывать
renew возобновлять
renowned прославленный
rent арендовать
rental арендная плата
repair ремонт
repeat повторять
repeated повторный
replace заменять
replacement замена
reply отвечать
report доклад
reportedly по сообщениям
reporter репортер
reporting отчет
represent представлять
representation представление
representative представитель
reproduce воспроизводить
reproduction воспроизведение
republic Республика
reputation репутация
request запрос
require требовать
requirement требование
rescue спасение
research исследование
researcher исследователь
resemble походить
reservation бронирование
reserve резервный
reside проживать
residence резиденция
resident житель
residential жилой
residue остаток
resign уходить в отставку
resignation отставка
resist сопротивляться
resistance сопротивление
resolution разрешение
resolve разрешить
resort курорт
resource ресурс
respect уважение
respective соответствующий
respectively соответственно
respond откликнуться
response ответ
responsibility ответственность
responsible ответственный
rest остальное
restaurant ресторан
restoration восстановление
restore восстановить
restraint сдержанность
restrict ограничивать
restriction ограничение
result результат
resume возобновиться
retail розничная торговля
retain удерживать
retire уходить в отставку
retired в отставке
retirement отставка
retreat отступление
retrieve извлекать
return вернуть
reveal раскрыть
revelation открытие
revenge месть
revenue доход
reverse обратный
review обзор
revise пересматривать
revision пересмотр
revival возрождение
revive возрождать
revolution революция
revolutionary революционер
reward награда
rhetoric риторический
rhythm ритм
rice рис
rich богатый
rid избавлять
ride ездить
ridiculous нелепый
rifle винтовка
right право
ring кольцо
riot бунт
rip разрыв
rise подъем
risk рисковать
risky рискованный
ritual ритуал
rival соперник
river речной
road дорога
rob грабить
robbery грабеж
robot робот
robust крепкий
rock рок
rocket ракета
rod стержень
role роль
roll рулон
romance романтика
romantic романтический
roof крыша
room комната
root корень
rope веревка
rose роза
rotate вращать
rotation вращение
rough грубый
roughly грубо
round круглый
route маршрут
routine рутина
row ряд
royal королевский
rub тереть
rubber резинка
rubbish мусор
rude грубый
rugby регби
ruin разрушать
rule правило
ruling правящий
rumour слух
run бежать
runner бегун
running бегущий
rural сельский
rush спешка
sack мешок
sacred священный
sacrifice жертвовать
sad грустный
sadly грустно
safe безопасный
safety безопасность
sail парус
sailing парусный спорт
sailor моряк
saint святой
sake сакэ
salad салат
salary зарплата
sale продажа
salt соль
same одинаковый
sample образец
sanction санкция
sand песок
sandwich сэндвич
satellite спутник
satisfaction удовлетворение
satisfied удовлетворенный
satisfy удовлетворять
saturday суббота
sauce соус
save сохранить
saving экономия
say сказать
scale масштаб
scan сканировать
scandal скандал
scare пугать
scared напуганный
scary страшный
scattered разбросанный
scenario сценарий
scene сцена
sceptical скептический
schedule график
scheme схема
scholar ученый
scholarship ученость
school школа
science наука
scientific научный
scientist ученый
scope масштаб
score счет
scratch царапина
scream крик
screen экран
screening скрининг
screw винт
script скрипт
scrutiny исследование
sculpture скульптура
sea море
seal печать
search поиск
season сезон
seat сиденье
second второй
secondary вторичный
secondly во вторых
secret секрет
secretary секретарь
section раздел
sector сектор
secular светский
secure безопасный
security безопасность
see видеть
seed семя
seek искать
seeker искатель
seem казаться
seemingly по-видимому
segment сегмент
seize схватить
seldom редко
select выбирать
selection выбор
selective выборочный
self сам
sell продавать
seminar семинар
senator сенатор
send посылать
senior старший
sensation чувство
sense чувство
sensible здравомыслящий
sensitive чувствительный
sensitivity чувствительность
sentence предложение
sentiment настроение
separate разделять
separation разделение
september сентябрь
sequence последовательность
serial серийный
series серия
serious серьезный
seriously серьезно
servant слуга
serve обслуживать
service обслуживание
session сессия
set набор
set-up устанавливать
setting установка
settle селиться
settlement поселок
settler поселенец
seven семь
seventeen семнадцать
seventy семьдесят
several несколько
severe суровый
severely сильно
sex пол
sexual интимный
sexuality чувственность
sexy чувственный
shade оттенок
shadow тень
shake трясти
shall должны
shallow мелкий
shame позор
shape форма
shaped сформированный
share делиться
shareholder акционер
sharp острый
shatter раздробить
she она
shed сарай
sheep овца
sheer отвесный
sheet лист
shelf полка
shell ракушка
shelter укрытие
shift сдвиг
shine сиять
shiny блестящий
ship корабль
shipping доставка
shirt рубашка
shock шок
shocked потрясенный
shocking шокирующий
shoe башмак
shoot стрелять
shooting стрельба
shop магазин
shopping поход по магазинам
shore берег
short короткий
short-term кратковременный
shortage нехватка
shortly кратко
shot выстрел
should должны
shoulder плечо
shout крик
show показывать
shower душ
shrink сокращаться
shrug пожимать
shut закрыть
shy застенчивый
sibling родной брат
sick больной
side сторона
sigh вздыхать
sight взгляд
sign знак
signal сигнал
signature подпись
significance значимость
significant существенный
significantly существенно
silence тишина
silent тихий
silk шелк
silly глупый
silver серебро
similar схожий
similarity сходство
similarly аналогично
simple простой
simply просто
simulate имитировать
simulation моделирование
simultaneously одновременно
sin грех
since с
sincere искренний
sing петь
singer певец
singing пение
single одиночный
sink раковина
sir сэр
sister сестра
sit сидеть
site сайт
situated расположенный
situation ситуация
six шесть
sixteen шестнадцать
sixty шестьдесят
size размер
sketch набросок
ski кататься на лыжах
skiing катание на лыжах
skill навык
skilled умелый
skin кожа
skip пропускать
skirt юбка
skull череп
sky небо
slam захлопывать
slap шлепок
slash косая черта
slave рабыня
slavery невольничество
sleep сон
slice ломтик
slide горка
slight незначительный
slightly слегка
slip скользить
slogan лозунг
slope склон
slot слот
slow медленный
slowly медленно
small маленький
smart умный
smash громить
smell запах
smile улыбка
smoke дым
smoking курение
smooth гладкий
snake змея
snap щелкать
snow снег
so так
so-called так называемый
soak впитывать
soap мыло
soar парить
soccer футбол
social общественный
socialist социалист
society общество
sock носок
soft мягкий
software программное обеспечение
soil почва
solar солнечный
soldier солдат
sole подошва
solely исключительно
solicitor адвокат
solid твердый
solidarity солидарность
solo сольный
